Author,BookID,WikipediaLink
"Garnett, Richard",10095,https://en.wikipedia.org/wiki/Richard_Garnett_%28writer%29
"Dalton, Hugh Dalton, Baron",10107,https://en.wikipedia.org/wiki/Hugh_Dalton
"Marquand, John P. (John Phillips)",10109,https://en.wikipedia.org/wiki/John_P._Marquand
"Sweetser, Kate Dickinson",10111,https://en.wikipedia.org/wiki/Kate_Dickinson_Sweetser
"Thiselton-Dyer, T. F. (Thomas Firminger)",10118,https://en.wikipedia.org/wiki/T._F._Thiselton-Dyer
"Hutton, Edward",10120,https://en.wikipedia.org/wiki/Edward_Hutton_%28writer%29
"Waugh, Edwin",10126,https://en.wikipedia.org/wiki/Edwin_Waugh
"Beeton, Mrs. (Isabella Mary)",10136,https://en.wikipedia.org/wiki/Isabella_Beeton
"Tyrrell, George",10139,https://en.wikipedia.org/wiki/George_Tyrrell
"Bryant, William Cullen",10141,https://en.wikipedia.org/wiki/William_Cullen_Bryant
"Toynbee, Arnold",10145,https://en.wikipedia.org/wiki/Arnold_J._Toynbee
Cassius Dio Cocceianus,10162,https://en.wikipedia.org/wiki/Cassius_Dio
"Snouck Hurgronje, C. (Christiaan)",10163,https://en.wikipedia.org/wiki/Christiaan_Snouck_Hurgronje
"Greg, Percy",10165,https://en.wikipedia.org/wiki/Percy_Greg
"Mitchell, Maria",10202,https://en.wikipedia.org/wiki/Maria_Mitchell
"Gregory, Jackson",10213,https://en.wikipedia.org/wiki/Jackson_Gregory
"Taylor, Thomas",10214,https://en.wikipedia.org/wiki/Thomas_Taylor_%28neoplatonist%29
"Rovani, Giuseppe",10215,https://en.wikipedia.org/wiki/Giuseppe_Rovani
"Brandt, G. N. (Gudmund Nyeland)",10218,https://en.wikipedia.org/wiki/Gudmund_Nyeland_Brandt
"Barrow, Isaac",10274,https://en.wikipedia.org/wiki/Isaac_Barrow
"Hervilly, Ernest d'",10289,https://fr.wikipedia.org/wiki/Ernest_d%27Hervilly
"May, Sophie",10320,https://en.wikipedia.org/wiki/Rebecca_Sophia_Clarke
"Rideout, Henry Milner",10321,https://en.wikipedia.org/wiki/Henry_Milner_Rideout
"Cassels, Walter Richard",10328,https://en.wikipedia.org/wiki/Walter_Richard_Cassels
"Marx-Koning, Marie",10334,https://nl.wikipedia.org/wiki/Marie_Metz-Koning
"Garnett, David",10337,https://en.wikipedia.org/wiki/David_Garnett
"Aaronsohn, Alexander",10338,https://en.wikipedia.org/wiki/Alexander_Aaronsohn
"Stoddard, William O.",10340,https://en.wikipedia.org/wiki/William_Stoddard
"Trollope, Frances Milton",10345,https://en.wikipedia.org/wiki/Frances_Milton_Trollope
"Buysse, Cyriel",10346,https://fr.wikipedia.org/wiki/Cyriel_Buysse
"Richardson, James",10355,https://en.wikipedia.org/wiki/James_Richardson_(explorer)
