Author,BookID,WikipediaLink
"Mallarmé, Stéphane",4688,https://en.wikipedia.org/wiki/St%C3%A9phane_Mallarm%C3%A9
"Le Queux, William",4694,https://en.wikipedia.org/wiki/William_Le_Queux
"Gunn, Jeannie",4699,https://en.wikipedia.org/wiki/Jeannie_Gunn
"Regnard, Jean François",4700,https://en.wikipedia.org/wiki/Jean-Fran%C3%A7ois_Regnard
"Kuprin, A. I. (Aleksandr Ivanovich)",4706,https://en.wikipedia.org/wiki/Aleksandr_Kuprin
"Louÿs, Pierre",4708,https://en.wikipedia.org/wiki/Pierre_Lou%C3%BFs
"McCutcheon, George Barr",4709,https://en.wikipedia.org/wiki/George_Barr_McCutcheon
"Day, Holman",4712,https://en.wikipedia.org/wiki/Holman_Day
"Davis, William Stearns",4716,https://en.wikipedia.org/wiki/William_Stearns_Davis
"Richardson, Major (John)",4719,https://en.wikipedia.org/wiki/John_Richardson_%28author%29
"Dunne, Finley Peter",4729,https://en.wikipedia.org/wiki/Finley_Peter_Dunne
"Dennis, C. J. (Clarence James)",4730,https://en.wikipedia.org/wiki/C._J._Dennis
"Turner, Ethel Sybil",4731,https://en.wikipedia.org/wiki/Ethel_Turner
"Wellhausen, Julius",4732,https://en.wikipedia.org/wiki/Julius_Wellhausen
Guðmundur Kamban,4736,https://en.wikipedia.org/wiki/Gu%C3%B0mundur_Kamban
"Mason, A. E. W. (Alfred Edward Woodley)",4745,https://en.wikipedia.org/wiki/A._E._W._Mason
"Dufresny, Charles Rivière",4752,https://fr.wikipedia.org/wiki/Charles_Dufresny
"Jordan, David Starr",4754,https://en.wikipedia.org/wiki/David_Starr_Jordan
"Irwin, Wallace",4756,https://en.wikipedia.org/wiki/Wallace_Irwin
United States Rubber Company,4759,https://en.wikipedia.org/wiki/United_States_Rubber_Company
"Martin, Helen Reimensnyder",4760,https://en.wikipedia.org/wiki/Helen_Reimensnyder_Martin
Shell Union Oil Corporation,4768,https://en.wikipedia.org/wiki/Royal_Dutch_Shell
Moschus,4775,https://en.wikipedia.org/wiki/Moschus
"Lawrence, Josephine",4784,https://en.wikipedia.org/wiki/Josephine_Lawrence
"Franck, Harry Alverson",4786,https://en.wikipedia.org/wiki/Harry_A._Franck
"Motley, John Lothrop",4801,https://en.wikipedia.org/wiki/John_Lothrop_Motley
"Bird, H. E. (Henry Edward)",4902,https://en.wikipedia.org/wiki/Henry_Bird_(chess_player)
"Baron, Monsieur (Michel)",4906,https://fr.wikipedia.org/wiki/Michel_Baron
"Maxwell, James Clerk",4908,https://en.wikipedia.org/wiki/James_Clerk_Maxwell
"Lindsay, Norman",4910,https://en.wikipedia.org/wiki/Norman_Lindsay
"Lasker, Edward",4913,https://en.wikipedia.org/wiki/Edward_Lasker
"Crockett, S. R. (Samuel Rutherford)",4918,https://en.wikipedia.org/wiki/S._R._Crockett
"Hall, Austin",4920,https://en.wikipedia.org/wiki/Austin_Hall_(writer)
