Author,BookID,WikipediaLink
"Gotthelf, Jeremias",47441,http://en.wikipedia.org/wiki/Jeremias_Gotthelf
"Paulaharju, Samuli",47453,https://fi.wikipedia.org/wiki/Samuli_Paulaharju
"Habington, William",47462,https://en.wikipedia.org/wiki/William_Habington
"Rogers, W. A. (William Allen)",47484,https://en.wikipedia.org/wiki/William_Allen_Rogers
"Conz, Gustav",47502,http://de.wikipedia.org/wiki/Gustav_Conz
"Vallery-Radot, René",47505,https://fr.wikipedia.org/wiki/Ren%C3%A9_Vallery-Radot
"Tweedie, W. K. (William King)",47538,https://en.wikipedia.org/wiki/William_King_Tweedie
"Meurman, A. (Agathon)",47539,https://fi.wikipedia.org/wiki/Agathon_Meurman
"Cahun, David-Léon",47582,https://en.wikipedia.org/wiki/L%C3%A9on_Cahun
"Bell, Gertrude Lowthian",47612,https://en.wikipedia.org/wiki/Gertrude_Bell
"Young, Stanley Paul",47639,https://en.wikipedia.org/wiki/Stanley_Paul_Young
"Gilchrist, Anne (Anne Burrows)",47643,http://en.wikipedia.org/wiki/Anne_Gilchrist_%28writer%29
"Darío, Rubén",47650,https://es.wikipedia.org/wiki/Rub%C3%A9n_Dar%C3%ADo
Ali Bey,47664,https://en.wikipedia.org/wiki/Ali_Bey_al-Abbasi
"Rinke, Jan",47668,https://nl.wikipedia.org/wiki/Jan_Rinke
"Farrère, Claude",47712,https://en.wikipedia.org/wiki/Claude_Farrère
"Frost, A. B. (Arthur Burdett)",47735,https://en.wikipedia.org/wiki/A._B._Frost
"Gumpert, Thekla von",47742,https://de.wikipedia.org/wiki/Thekla_von_Gumpert
"Reynolds, Robert Rice",47750,https://en.wikipedia.org/wiki/Robert_Rice_Reynolds
"Bright, J. Franck (James Franck)",47759,https://en.wikipedia.org/wiki/James_Franck_Bright
"Ortega y Frías, Ramón",47768,http://es.wikipedia.org/wiki/Ram%C3%B3n_Ortega_y_Fr%C3%ADas
"Eden, Helen Parry",47803,https://en.wikipedia.org/wiki/Helen_Parry_Eden
"Baker, George M. (George Melville)",47826,http://en.wikipedia.org/wiki/George_Melville_Baker
"Verseghy, Ferenc",47835,http://hu.wikipedia.org/wiki/Verseghy_Ferenc_%28k%C3%B6lt%C5%91%29
"Fruictier, Paul",47855,https://eo.wikipedia.org/wiki/Paul_Fruictier
"Dendy, Walter Cooper",47858,https://en.wikipedia.org/wiki/Walter_Cooper_Dendy
"Skeat, Walter William",47873,https://en.wikipedia.org/wiki/Walter_William_Skeat_(anthropologist)
"Järvi, K. A. (Kaarlo August)",47909,https://fi.wikipedia.org/wiki/K._A._J%C3%A4rvi
"Faulds, Henry",47911,https://en.wikipedia.org/wiki/Henry_Faulds
"Sladen, Douglas Brooke Wheelton",47944,https://en.wikipedia.org/wiki/Douglas_Sladen
"Benecke, Georg Friedrich",47945,http://de.wikipedia.org/wiki/Georg_Friedrich_Benecke
"Wilson, Daniel, Sir",47948,https://en.wikipedia.org/wiki/Daniel_Wilson_%28academic%29
"Alexander, Francesca",47962,http://en.wikipedia.org/wiki/Francesca_Alexander
"Armstrong, Margaret",47971,https://en.wikipedia.org/wiki/Margaret_Neilson_Armstrong
Geological Survey (U.S.),47999,https://en.wikipedia.org/wiki/United_States_Geological_Survey
"Brenchley, Winifred Elsie",48008,http://en.wikipedia.org/wiki/Winifred_Brenchley
"Beneden, P. J. van (Pierre Joseph)",48010,http://en.wikipedia.org/wiki/Pierre-Joseph_van_Beneden
"Budgell, Eustace",48026,http://en.wikipedia.org/wiki/Eustace_Budgell
"Stoner, Winifred Sackville",48044,"http://en.wikipedia.org/wiki/Winifred_Sackville_Stoner,_Jr."
"Thompson, Alexander M. (Alexander Mattock)",48055,http://en.wikipedia.org/wiki/Alexander_M._Thompson
"Helm, Clementine",48064,https://de.wikipedia.org/wiki/Clementine_Helm
"Gannal, J.-N. (Jean-Nicolas)",48078,http://fr.wikipedia.org/wiki/Jean-Nicolas_Gannal
