Author,BookID,WikipediaLink
"Twain, Mark",91,https://en.wikipedia.org/wiki/Mark_Twain
"Burroughs, Edgar Rice",92,https://en.wikipedia.org/wiki/Edgar_Rice_Burroughs
"Twain, Mark",93,https://en.wikipedia.org/wiki/Mark_Twain
"Cather, Willa",94,https://en.wikipedia.org/wiki/Willa_Cather
"Hope, Anthony",95,https://en.wikipedia.org/wiki/Anthony_Hope
"Burroughs, Edgar Rice",96,https://en.wikipedia.org/wiki/Edgar_Rice_Burroughs
"Abbott, Edwin Abbott",97,https://en.wikipedia.org/wiki/Edwin_Abbott_Abbott
"Dickens, Charles",98,https://en.wikipedia.org/wiki/Charles_Dickens
"Douglass, Frederick",99,http://en.wikipedia.org/wiki/Frederick_Douglass
"Shakespeare, William",100,https://en.wikipedia.org/wiki/William_Shakespeare
"Sterling, Bruce",101,https://en.wikipedia.org/wiki/Bruce_Sterling
"Twain, Mark",102,https://en.wikipedia.org/wiki/Mark_Twain
"Verne, Jules",103,http://pt.wikipedia.org/wiki/Júlio_Verne
"Roosevelt, Franklin D. (Franklin Delano)",104,https://en.wikipedia.org/wiki/Franklin_D._Roosevelt
"Austen, Jane",105,https://en.wikipedia.org/wiki/Jane_Austen
"Burroughs, Edgar Rice",106,https://en.wikipedia.org/wiki/Edgar_Rice_Burroughs
"Hardy, Thomas",107,https://en.wikipedia.org/wiki/Thomas_Hardy
"Doyle, Arthur Conan",108,https://en.wikipedia.org/wiki/Arthur_Conan_Doyle
"Millay, Edna St. Vincent",109,https://en.wikipedia.org/wiki/Edna_St._Vincent_Millay
"Hardy, Thomas",110,https://en.wikipedia.org/wiki/Thomas_Hardy
"Stratton-Porter, Gene",111,https://en.wikipedia.org/wiki/Gene_Stratton_Porter
"McGowan, Richard",112,
"Burnett, Frances Hodgson",113,https://en.wikipedia.org/wiki/Frances_Hodgson_Burnett
United States. Bureau of the Census,115,http://en.wikipedia.org/wiki/United_States_Census_Bureau
"Beethoven, Ludwig van",117,https://en.wikipedia.org/wiki/Ludwig_van_Beethoven
Electronic Frontier Foundation,118,https://en.wikipedia.org/wiki/Electronic_Frontier_Foundation
"Twain, Mark",119,https://en.wikipedia.org/wiki/Mark_Twain
"Stevenson, Robert Louis",120,https://en.wikipedia.org/wiki/Robert_Louis_Stevenson
"Austen, Jane",121,https://en.wikipedia.org/wiki/Jane_Austen
"Hardy, Thomas",122,https://en.wikipedia.org/wiki/Thomas_Hardy
"Burroughs, Edgar Rice",123,https://en.wikipedia.org/wiki/Edgar_Rice_Burroughs
Anonymous,124,https://en.wikipedia.org/wiki/Anonymous_work
"Stratton-Porter, Gene",125,https://en.wikipedia.org/wiki/Gene_Stratton_Porter
"Doyle, Arthur Conan",126,https://en.wikipedia.org/wiki/Arthur_Conan_Doyle
"Lang, Andrew",128,http://en.wikipedia.org/wiki/Andrew_Lang
"Chesterton, G. K. (Gilbert Keith)",130,https://en.wikipedia.org/wiki/G._K._Chesterton
"Bunyan, John",131,https://en.wikipedia.org/wiki/John_Bunyan
"Sunzi, active 6th century B.C.",132,https://zh.wikipedia.org/wiki/%E5%AD%99%E6%AD%A6
"Frederic, Harold",133,https://en.wikipedia.org/wiki/Harold_Frederic
"Wollstonecraft, Mary",134,https://en.wikipedia.org/wiki/Mary_Wollstonecraft
"Hugo, Victor",135,https://en.wikipedia.org/wiki/Victor_Hugo
"Stevenson, Robert Louis",136,https://en.wikipedia.org/wiki/Robert_Louis_Stevenson
"Burnett, Frances Hodgson",137,https://en.wikipedia.org/wiki/Frances_Hodgson_Burnett
"Doumic, René",138,https://fr.wikipedia.org/wiki/Ren%C3%A9_Doumic
"Doyle, Arthur Conan",139,https://en.wikipedia.org/wiki/Arthur_Conan_Doyle
"Sinclair, Upton",140,https://en.wikipedia.org/wiki/Upton_Sinclair
"Austen, Jane",141,https://en.wikipedia.org/wiki/Jane_Austen
"Twain, Mark",142,https://en.wikipedia.org/wiki/Mark_Twain
"Hardy, Thomas",143,https://en.wikipedia.org/wiki/Thomas_Hardy
"Woolf, Virginia",144,http://en.wikipedia.org/wiki/Virginia_Woolf
"Eliot, George",145,https://en.wikipedia.org/wiki/George_Eliot
"Burnett, Frances Hodgson",146,https://en.wikipedia.org/wiki/Frances_Hodgson_Burnett
"Paine, Thomas",147,https://en.wikipedia.org/wiki/Thomas_Paine
"Franklin, Benjamin",148,https://en.wikipedia.org/wiki/Benjamin_Franklin
"Burroughs, Edgar Rice",149,https://en.wikipedia.org/wiki/Edgar_Rice_Burroughs
Plato,150,https://en.wikipedia.org/wiki/Plato
"Coleridge, Samuel Taylor",151,https://en.wikipedia.org/wiki/Samuel_Taylor_Coleridge
"Sprague, Ruth M.",152,
"Hardy, Thomas",153,https://en.wikipedia.org/wiki/Thomas_Hardy
"Howells, William Dean",154,https://en.wikipedia.org/wiki/William_Dean_Howells
"Collins, Wilkie",155,https://en.wikipedia.org/wiki/Wilkie_Collins
"Beethoven, Ludwig van",156,https://en.wikipedia.org/wiki/Ludwig_van_Beethoven
"Webster, Jean",157,https://en.wikipedia.org/wiki/Jean_Webster
"Austen, Jane",158,https://en.wikipedia.org/wiki/Jane_Austen
"Wells, H. G. (Herbert George)",159,https://en.wikipedia.org/wiki/H._G._Wells
"Chopin, Kate",160,https://en.wikipedia.org/wiki/Kate_Chopin
"Austen, Jane",161,https://en.wikipedia.org/wiki/Jane_Austen
"Laxer, Mark E.",162,
"Alcott, Louisa May",163,https://en.wikipedia.org/wiki/Louisa_May_Alcott
"Verne, Jules",164,http://en.wikipedia.org/wiki/Jules_Verne
"Norris, Frank",165,https://en.wikipedia.org/wiki/Frank_Norris
"Wharton, Edith",166,http://en.wikipedia.org/wiki/Edith_Wharton
"Humphrey, S. D. (Samuel Dwight)",167,
"Snelling, Henry Hunt",168,https://en.wikipedia.org/wiki/Henry_Hunt_Snelling
"Morris, William",169,http://en.wikipedia.org/wiki/William_Morris
"Collins, Wilkie",170,https://en.wikipedia.org/wiki/Wilkie_Collins
"Rowson, Mrs.",171,https://en.wikipedia.org/wiki/Susanna_Rowson
