Author,BookID,WikipediaLink
"Drachmann, Holger",22006,https://en.wikipedia.org/wiki/Holger_Drachmann
"Faribault, G.-B. (Georges-Barthélemi)",22007,https://en.wikipedia.org/wiki/George-Barth%C3%A9lemy_Faribault
"La Peyrère, Isaac de",22011,http://en.wikipedia.org/wiki/Isaac_La_Peyr%C3%A8re
"Smith, Grafton Elliot",22038,https://en.wikipedia.org/wiki/Grafton_Elliot_Smith
"Jusserand, J. J. (Jean Jules)",22049,https://fr.wikipedia.org/wiki/Jean_Jules_Jusserand
"Noailles, Anna de",22054,https://en.wikipedia.org/wiki/Anna_de_Noailles
"Warner, Anna Bartlett",22061,https://en.wikipedia.org/wiki/Anna_Bartlett_Warner
"Gleichen, Edward, Lord",22074,http://en.wikipedia.org/wiki/Lord_Edward_Gleichen
"Bates, Joseph",22098,http://en.wikipedia.org/wiki/Joseph_Bates_(Adventist)
"Keifer, Joseph Warren",22100,http://en.wikipedia.org/wiki/J._Warren_Keifer
"Coppel, Alfred",22102,https://en.wikipedia.org/wiki/Alfred_Coppel
"Innes, A. Taylor (Alexander Taylor)",22106,https://en.wikipedia.org/wiki/Alexander_Taylor_Innes
"Beard, Daniel Carter",22109,http://en.wikipedia.org/wiki/Daniel_Carter_Beard
"Ahlqvist, August",22122,https://fi.wikipedia.org/wiki/August_Ahlqvist
"Raabe, Wilhelm",22123,http://de.wikipedia.org/wiki/Wilhelm_Raabe
"Meek, S. P. (Sterner St. Paul)",22132,http://en.wikipedia.org/wiki/S.P._Meek
"Perry, Ralph Barton",22135,http://en.wikipedia.org/wiki/Ralph_Barton_Perry
"Oppenheim, L. (Lassa)",22143,http://en.wikipedia.org/wiki/L._F._L._Oppenheim
"Lanciani, Rodolfo Amedeo",22153,http://en.wikipedia.org/wiki/Rodolfo_Lanciani
"Vincent, Harl",22154,https://en.wikipedia.org/wiki/Harl_Vincent
"Charlier, C. V. L. (Carl Vilhelm Ludwig)",22157,http://en.wikipedia.org/wiki/Carl_Charlier
"Lane-Poole, Stanley",22169,https://en.wikipedia.org/wiki/Stanley_Lane-Poole
"Ernst, Paul",22171,http://en.wikipedia.org/wiki/Paul_Ernst_(Avenger_writer)
"Morison, William",22174,https://en.wikipedia.org/wiki/William_Morison
Terence,22188,http://en.wikipedia.org/wiki/Terence
"Trotter, I. Lilias (Isabella Lilias)",22189,http://en.wikipedia.org/wiki/Lilias_Trotter
"Murray, David Christie",22200,https://en.wikipedia.org/wiki/David_Christie_Murray
"Herzog, Rudolf",22209,http://de.wikipedia.org/wiki/Rudolf_Herzog
"Cumont, Franz",22213,https://fr.wikipedia.org/wiki/Franz_Cumont
"Simak, Clifford D.",22216,http://en.wikipedia.org/wiki/Clifford_D._Simak
