BookId,Author,WikipediaLink,WikidataId,DateOfBirth,DateOfDeath,CountryOfCitizenship,Occupation,LanguagesSpokenWrittenOrSigned,Genre,FieldOfWork,MemberOf,EducatedAt,InfluencedBy
16260,"Daguerre, Louis Jacques Mandé",https://fr.wikipedia.org/wiki/Louis_Daguerre,Q131405,1787-11-18T00:00:00Z,1851-07-10T00:00:00Z,France,photographer,French,,,Bavarian Academy of Sciences and Humanities,,
27694,"Rollin, Charles",http://en.wikipedia.org/wiki/Charles_Rollin,Q2471187,1661-01-30T00:00:00Z,1741-09-14T00:00:00Z,France,professor,Latin,,,,University of Paris,
36921,"Athenaeus, of Naucratis",https://en.wikipedia.org/wiki/Athenaeus,Q294923,0170-01-01T00:00:00Z,0223-01-01T00:00:00Z,,poet,Ancient Greek,,,,,
17894,"Hotman, François",http://en.wikipedia.org/wiki/Fran%C3%A7ois_Hotman,Q561737,1524-09-02T00:00:00Z,1590-02-12T00:00:00Z,France,jurist,Middle French,,,,,
33198,"Bedini, Silvio A.",http://en.wikipedia.org/wiki/Silvio_Bedini,Q3960834,1917-01-17T00:00:00Z,2007-11-14T00:00:00Z,United States of America,historian,English,,,American Philosophical Society,University of Bridgeport,
14562,"Godkin, James",https://en.wikipedia.org/wiki/James_Godkin,Q6134699,1806-01-01T00:00:00Z,1879-05-02T00:00:00Z,United Kingdom of Great Britain and Ireland,journalist,English,,,,,
21510,"Schmitz, James H.",http://en.wikipedia.org/wiki/James_H._Schmitz,Q1406489,1911-10-15T00:00:00Z,1981-04-18T00:00:00Z,United States of America,Nouvelliste,English,,,,,
33352,"Harbaugh, T. C. (Thomas Chalmers)",https://en.wikipedia.org/wiki/Thomas_Chalmers_Harbaugh,Q7788309,1849-01-03T00:00:00Z,1924-01-01T00:00:00Z,,novelist,,,,,,
60215,"Gebler, Karl von",https://de.wikipedia.org/wiki/Karl_von_Gebler,Q26198332,1850-11-29T00:00:00Z,1878-09-07T00:00:00Z,Austria,historian of science,,,,,,
42760,"Hubbard, Alice",http://en.wikipedia.org/wiki/Alice_Moore_Hubbard,Q531293,1861-06-07T00:00:00Z,1915-05-07T00:00:00Z,United States of America,author,,,,,Emerson College,
4380,"Barbusse, Henri",https://fr.wikipedia.org/wiki/Henri_Barbusse,Q18404,1873-05-17T00:00:00Z,1935-08-30T00:00:00Z,France,historian,French,,,Russian Academy of Sciences,,
19696,"Schauffler, Robert Haven",http://en.wikipedia.org/wiki/Robert_Haven_Schauffler,Q7345320,1879-04-08T00:00:00Z,1964-11-24T00:00:00Z,United States of America,writer,English,,,,,
3963,"Bourget, Paul",https://fr.wikipedia.org/wiki/Paul_Bourget,Q198644,1852-09-02T00:00:00Z,1935-12-25T00:00:00Z,France,poet,French,psychological novel,,Ligue de la Patrie Française,Lycée Louis-le-Grand,"[['Q297726', 'Hippolyte Taine']]"
13301,"Velimirović, Nikolaj",https://en.wikipedia.org/wiki/Nikolaj_Velimirovi%C4%87,Q566764,1881-01-04T00:00:00Z,1956-01-01T00:00:00Z,United States of America,hagiographer,Serbian,,,,University of Bern,
7368,"Glaspell, Susan",https://en.wikipedia.org/wiki/Susan_Glaspell,Q468667,1876-07-01T00:00:00Z,1948-07-27T00:00:00Z,United States of America,feminist,English,,,,Drake University,
5696,"Curtis, Alice Turner",https://en.wikipedia.org/wiki/Alice_Turner_Curtis,Q60522615,1860-09-06T00:00:00Z,1958-07-10T00:00:00Z,United States of America,children's writer,,,,,,
9111,"Eeden, Frederik van",https://nl.wikipedia.org/wiki/Frederik_van_Eeden_(schrijver),Q211514,1860-04-03T00:00:00Z,1932-06-16T00:00:00Z,Kingdom of the Netherlands,physician,Dutch,,hypnosis,,University of Strasbourg,
18440,"Read, Carveth",http://en.wikipedia.org/wiki/Carveth_Read,Q5047563,1848-03-16T00:00:00Z,1931-12-06T00:00:00Z,,philosopher,,,,,,
12998,"Swan, Annie S.",https://en.wikipedia.org/wiki/Annie_S._Swan,Q4769426,1859-07-08T00:00:00Z,1943-06-17T00:00:00Z,United Kingdom,writer,English,,,,,
52335,"Hartmann, Walther Georg",https://de.wikipedia.org/wiki/Walther_Georg_Hartmann,Q2547168,1892-07-17T00:00:00Z,1970-10-18T00:00:00Z,Germany,German scholar,German,,,,,
14357,"Jones, Abel J. (Abel John)",https://en.wikipedia.org/wiki/Abel_J._Jones,Q4666582,1878-05-26T00:00:00Z,1949-05-08T00:00:00Z,,academic,,,,,University of Jena,
39874,"Lajpat Rai, Lala",https://en.wikipedia.org/wiki/Lala_Lajpat_Rai,Q1395763,1865-01-28T00:00:00Z,1928-11-17T00:00:00Z,British India,revolutionary,English,,,,,
15674,"Pina, Rui de",http://en.wikipedia.org/wiki/Rui_de_Pina,Q2015448,1440-01-01T00:00:00Z,1521-01-01T00:00:00Z,Portugal,writer,Portuguese,,,,,
10321,"Rideout, Henry Milner",https://en.wikipedia.org/wiki/Henry_Milner_Rideout,Q5725898,1877-01-01T00:00:00Z,1927-01-01T00:00:00Z,United States of America,biographer,English,,,,Harvard University,
176,"James, Henry",https://en.wikipedia.org/wiki/Henry_James,Q170509,1843-04-15T00:00:00Z,1916-02-28T00:00:00Z,United States of America,screenwriter,English,Gothic literature,English literature,Phi Beta Kappa Society,Harvard University,"[['Q36661', 'Henrik Ibsen'], ['Q9711', 'Honoré de Balzac']]"
25716,"Song, Shangjie",http://en.wikipedia.org/wiki/John_Sung,Q713272,1901-09-29T00:00:00Z,1944-08-18T00:00:00Z,China,missionary,,,,,Ohio State University,
12861,"Hutton, James",https://en.wikipedia.org/wiki/James_Hutton,Q192927,1726-06-03T00:00:00Z,1797-03-26T00:00:00Z,Great Britain,industrialist,English,,meteorology,Royal Society of Edinburgh,Leiden University,"[['Q1588306', 'John Walker']]"
16829,"Huizinga, Johan",http://en.wikipedia.org/wiki/Johan_Huizinga,Q276280,1872-12-07T00:00:00Z,1945-02-01T00:00:00Z,Kingdom of the Netherlands,linguist,Dutch,,medieval history,Koninklijke Academie voor Nederlandse Taal- en Letterkunde,Leiden University,"[['Q76849', 'Georg Simmel']]"
64432,"Chace, Howard L.",https://en.wikipedia.org/wiki/Howard_L._Chace,Q15439556,1897-06-04T00:00:00Z,1982-01-09T00:00:00Z,,linguist,,,,,Miami University,
4984,"Chambers, Robert W. (Robert William)",http://en.wikipedia.org/wiki/Robert_W._Chambers,Q1349144,1865-05-26T00:00:00Z,1933-12-16T00:00:00Z,United States of America,painter,English,,,American Academy of Arts and Letters,Académie Julian,
55981,"Echegaray, José",https://en.wikipedia.org/wiki/Jos%C3%A9_Echegaray,Q127349,1832-04-19T00:00:00Z,1916-09-14T00:00:00Z,Spain,engineer,Spanish,dramaturgy,,Royal Spanish Mathematical Society,"Escuela Técnica Superior de Ingenieros de Caminos, Canales y Puertos (Universidad Politécnica de Madrid)",
1412,"Marryat, Frederick",https://en.wikipedia.org/wiki/Frederick_Marryat,Q467770,1792-07-10T00:00:00Z,1848-08-09T00:00:00Z,United Kingdom,novelist,English,,,Royal Society,,
39941,"Adeney, Walter F. (Walter Frederic)",https://en.wikipedia.org/wiki/Walter_Frederic_Adeney,Q64347096,1849-03-14T00:00:00Z,1920-09-01T00:00:00Z,,university teacher,,,,,University College London,
26926,"Benedix, Roderich",http://en.wikipedia.org/wiki/Roderich_Benedix,Q87176,1811-01-21T00:00:00Z,1873-09-26T00:00:00Z,Germany,actor,German,,,,Thomasschule zu Leipzig,
389,"Machen, Arthur",http://en.wikipedia.org/wiki/Arthur_Machen,Q540166,1863-03-03T00:00:00Z,1947-12-15T00:00:00Z,United Kingdom,writer,English,horror literature,,,Hereford Cathedral School,
57804,"Dukes, Paul",https://en.wikipedia.org/wiki/Paul_Dukes,Q3371126,1889-02-10T00:00:00Z,1967-08-27T00:00:00Z,United Kingdom of Great Britain and Ireland,spy,,,,,Caterham School,
