BookId	Author	WikipediaLink	WikidataId	DateOfBirth	DateOfDeath	CountryOfCitizenship	Occupation	LanguagesSpokenWrittenOrSigned	Genre	FieldOfWork	MemberOf	EducatedAt	InfluencedBy
2802	Jackson, Helen Hunt	https://en.wikipedia.org/wiki/Helen_Hunt_Jackson	Q462363	1830-10-15T00:00:00Z	1885-08-12T00:00:00Z	United States of America	novelist	English	None	None	None	None	None
38591	Fuseli, Henry	https://en.wikipedia.org/wiki/Henry_Fuseli	Q122382	1741-02-07T00:00:00Z	1825-04-16T00:00:00Z	United Kingdom	drawer	English	religious painting	None	Royal Academy of Arts	None	None
47055	Hughes, Richard Arthur Warren	http://en.wikipedia.org/wiki/Richard_Hughes_(writer)	Q302433	1900-04-19T00:00:00Z	1976-04-28T00:00:00Z	United Kingdom	journalist	English	None	None	Royal Society of Literature	Charterhouse School	None
28113	Chantepleure, G. (Guy)	https://fr.wikipedia.org/wiki/Guy_Chantepleure	Q3121643	1870-02-01T00:00:00Z	1951-06-26T00:00:00Z	France	writer	French	None	None	None	None	None
18388	Neilson, William Allan	https://en.wikipedia.org/wiki/William_Allan_Neilson	Q8004330	1869-03-28T00:00:00Z	1946-01-01T00:00:00Z	United States of America	teacher	English	None	None	Medieval Academy of America	University of Edinburgh	None
13076	Collingwood, W. G. (William Gershom)	https://en.wikipedia.org/wiki/W._G._Collingwood	Q3034215	1854-08-06T00:00:00Z	1932-10-01T00:00:00Z	United Kingdom	author	English	None	None	Guild of St George	Liverpool College	None
4991	Patchin, Frank Gee	https://en.wikipedia.org/wiki/Frank_Gee_Patchin	Q55418955	1861-01-01T00:00:00Z	1925-01-01T00:00:00Z	None	writer	None	None	None	None	None	None
14429	Wilson, James Harrison	https://en.wikipedia.org/wiki/James_H._Wilson	Q3806582	1837-09-02T00:00:00Z	1925-02-23T00:00:00Z	United States of America	engineer	None	None	None	None	United States Military Academy	None
65424	Eaton, Seymour	https://en.wikipedia.org/wiki/Seymour_Eaton	Q29546613	1859-05-07T00:00:00Z	1916-03-16T00:00:00Z	None	writer	English	None	None	None	None	None
9944	King, Basil	https://en.wikipedia.org/wiki/Basil_King	Q4867202	1859-02-26T00:00:00Z	1928-06-22T00:00:00Z	Canada	writer	English	None	None	None	None	None
65603	Asp, Kaarlo	https://fi.wikipedia.org/wiki/Kaarlo_Asp	Q11868744	1894-09-03T00:00:00Z	1979-06-29T00:00:00Z	Finland	writer	None	None	None	None	None	None
12913	Bain, Alexander	https://en.wikipedia.org/wiki/Alexander_Bain	Q411628	None	None	None	None	None	None	None	None	None	None
