Author,BookID,WikipediaLink
"Freeman, Edward A. (Edward Augustus)",1066,http://en.wikipedia.org/wiki/Edward_Augustus_Freeman
"Grant, Ulysses S. (Ulysses Simpson)",1067,https://en.wikipedia.org/wiki/Ulysses_S._Grant
"Zola, Émile",1069,https://fr.wikipedia.org/wiki/%C3%89mile_Zola
"Bramah, Ernest",1076,https://en.wikipedia.org/wiki/Ernest_Bramah
"Altsheler, Joseph A. (Joseph Alexander)",1078,https://en.wikipedia.org/wiki/Joseph_Alexander_Altsheler
"Gogol, Nikolai Vasilevich",1081,https://fi.wikipedia.org/wiki/Nikolai_Gogol
"Seton, Ernest Thompson",1088,http://en.wikipedia.org/wiki/Ernest_Thompson_Seton
"Giraldus, Cambrensis",1092,https://en.wikipedia.org/wiki/Giraldus_Cambrensis
"Fielding, Henry",1146,https://en.wikipedia.org/wiki/Henry_Fielding
"Saxo, Grammaticus",1150,https://en.wikipedia.org/wiki/Saxo_Grammaticus
"Brieux, Eugène",1157,https://en.wikipedia.org/wiki/Eugène_Brieux
"Green, Anna Katharine",1167,http://en.wikipedia.org/wiki/Anna_Katharine_Green
"Duncan, Sara Jeannette",1168,https://en.wikipedia.org/wiki/Sara_Jeannette_Duncan
Xenophon,1169,https://en.wikipedia.org/wiki/Xenophon
"Draper, John William",1185,https://en.wikipedia.org/wiki/John_William_Draper
"Meynell, Alice",1186,https://en.wikipedia.org/wiki/Alice_Meynell
"Congreve, William",1191,https://en.wikipedia.org/wiki/William_Congreve
"Rougemont, Louis de",1194,https://en.wikipedia.org/wiki/Louis_de_Rougemont
"Boldrewood, Rolf",1198,https://en.wikipedia.org/wiki/Rolf_Boldrewood
"Rabelais, François",1200,https://en.wikipedia.org/wiki/Fran%C3%A7ois_Rabelais
"Spooner, Lysander",1201,https://en.wikipedia.org/wiki/Lysander_Spooner
"Prescott, William Hickling",1209,https://en.wikipedia.org/wiki/William_H._Prescott
"Herrick, Robert",1211,https://en.wikipedia.org/wiki/Robert_Herrick_(poet)
"Babbage, Charles",1216,http://en.wikipedia.org/wiki/Charles_Babbage
"Packard, Frank L. (Frank Lucius)",1218,https://en.wikipedia.org/wiki/Frank_L._Packard
"Coulter, John Merle",1221,https://en.wikipedia.org/wiki/John_Merle_Coulter
"Cobb, Irvin S. (Irvin Shrewsbury)",1222,https://en.wikipedia.org/wiki/Irvin_S._Cobb
"Mims, Edwin",1224,https://en.wikipedia.org/wiki/Edwin_Mims
"Tyndall, John",1225,https://en.wikipedia.org/wiki/John_Tyndall
"Machiavelli, Niccolò",1232,https://it.wikipedia.org/wiki/Niccol%C3%B2_Machiavelli
"Crile, George Washington",1233,https://en.wikipedia.org/wiki/George_Washington_Crile
"Gautier, Théophile",1235,https://en.wikipedia.org/wiki/Théophile_Gautier
"Brooks, Noah",1236,https://en.wikipedia.org/wiki/Noah_Brooks
"Thomson, James",1238,"https://en.wikipedia.org/wiki/James_Thomson_(poet,_born_1834)"
"Aiken, Conrad",1246,https://en.wikipedia.org/wiki/Conrad_Aiken
"Rand, Ayn",1249,https://en.wikipedia.org/wiki/Ayn_Rand
"Malory, Thomas, Sir",1251,https://en.wikipedia.org/wiki/Thomas_Malory
"Flaubert, Gustave",1253,https://fr.wikipedia.org/wiki/Gustave_Flaubert
"Rostand, Edmond",1254,https://en.wikipedia.org/wiki/Edmond_Rostand
"Strachey, Lytton",1265,https://en.wikipedia.org/wiki/Lytton_Strachey
"Reed, Myrtle",1266,https://en.wikipedia.org/wiki/Myrtle_Reed
"Mencken, H. L. (Henry Louis)",1270,https://en.wikipedia.org/wiki/H._L._Mencken
